X,Alfa_156,Audi_A4,Cit_Xantia,Peugeot_406,Saab_TID,Rnlt_Laguna,VW_Passat,BMW_320d,Cit_Xara,Cit_Xara,TrueWeight
Prix,23817,25771,25496,25649,26183,23664,23344,26260,19084,29160,"0,2"
Vitesse_max,201,195,195,191,199,194,195,209,182,203,"0,15"
Consom_moy,8,5.7,7.9,8.3,7.8,7.7,7.6,6.6,6.4,7.5,"0,1"
Dis_Freinage,39.6,35.8,37,34.4,35.7,37.4,34.4,36.6,40.6,34.5,"0,1"
Confort,6,7,2,2,5,4,3,4,8,1,"0,2"
Volume_Coffre,378,440,480,430,494,452,475,440,408,520,"0,15"
Acceleration,31.2,33,34,34.6,32,33.8,33.6,30.9,33.5,32,"0,1"
